regime,round,cluster_id,label,n_agents_with_centroid,within_cluster_distance
raven,5,cluster_1,vorpal,3,0.01770099
raven,5,cluster_2,slithy,3,0.03447747
raven,5,cluster_2,mimsy,3,0.01270292
raven,5,cluster_2,vorpal,3,0.01102295
raven,6,cluster_1,slithy,3,0.02114546
raven,6,cluster_1,mimsy,3,0.01138886
raven,6,cluster_1,vorpal,3,0.01770099
raven,6,cluster_2,slithy,3,0.03266786
raven,6,cluster_2,mimsy,3,0.01270292
raven,6,cluster_2,vorpal,3,0.01102295
raven,7,cluster_1,slithy,3,0.02114546
raven,7,cluster_1,mimsy,3,0.01138886
raven,7,cluster_1,vorpal,3,0.01770099
raven,7,cluster_2,slithy,3,0.03266786
raven,7,cluster_2,mimsy,3,0.01270292
raven,7,cluster_2,vorpal,3,0.01102295
raven,8,cluster_1,slithy,3,0.02114546
raven,8,cluster_1,mimsy,3,0.01138886
raven,8,cluster_1,vorpal,3,0.01770099
raven,8,cluster_2,slithy,3,0.02898119
raven,8,cluster_2,mimsy,3,0.01270292
raven,8,cluster_2,vorpal,3,0.01102295
raven,9,cluster_1,slithy,3,0.02114546
raven,9,cluster_1,mimsy,3,0.01138886
raven,9,cluster_1,vorpal,3,0.01770099
raven,9,cluster_2,slithy,3,0.02898119
raven,9,cluster_2,mimsy,3,0.01270292
raven,9,cluster_2,vorpal,3,0.01102295
raven,10,cluster_1,slithy,3,0.01716632
raven,10,cluster_1,mimsy,3,0.01138886
raven,10,cluster_1,vorpal,3,0.01770099
raven,10,cluster_2,slithy,3,0.02131679
raven,10,cluster_2,mimsy,3,0.01192695
raven,10,cluster_2,vorpal,3,0.01102295
raven,11,cluster_1,slithy,3,0.01716632
raven,11,cluster_1,mimsy,3,0.01138886
raven,11,cluster_1,vorpal,3,0.01770099
raven,11,cluster_2,slithy,3,0.01879088
raven,11,cluster_2,mimsy,3,0.01192695
raven,11,cluster_2,vorpal,3,0.01102295
raven,12,cluster_1,slithy,3,0.01716632
raven,12,cluster_1,mimsy,3,0.01138886
raven,12,cluster_1,vorpal,3,0.01770099
raven,12,cluster_2,slithy,3,0.01726256
raven,12,cluster_2,mimsy,3,0.01192695
raven,12,cluster_2,vorpal,3,0.01102295
raven,13,cluster_1,slithy,3,0.01716632
raven,13,cluster_1,mimsy,3,0.01138886
raven,13,cluster_1,vorpal,3,0.01770099
raven,13,cluster_2,slithy,3,0.01726256
raven,13,cluster_2,mimsy,3,0.01192695
raven,13,cluster_2,vorpal,3,0.01102295
raven,14,cluster_1,slithy,3,0.01716632
raven,14,cluster_1,mimsy,3,0.01138886
raven,14,cluster_1,vorpal,3,0.01770099
raven,14,cluster_2,slithy,3,0.01726256
raven,14,cluster_2,mimsy,3,0.01192695
raven,14,cluster_2,vorpal,3,0.01102295
raven,15,cluster_1,slithy,3,0.01489147
raven,15,cluster_1,mimsy,3,0.01138886
raven,15,cluster_1,vorpal,3,0.01542201
raven,15,cluster_2,slithy,3,0.01294897
raven,15,cluster_2,mimsy,3,0.01230532
raven,15,cluster_2,vorpal,3,0.01102295
raven,16,cluster_1,slithy,3,0.01489147
raven,16,cluster_1,mimsy,3,0.01138886
raven,16,cluster_1,vorpal,3,0.01542201
raven,16,cluster_2,slithy,3,0.01294897
raven,16,cluster_2,mimsy,3,0.01230532
raven,16,cluster_2,vorpal,3,0.01102295
raven,17,cluster_1,slithy,3,0.01489147
raven,17,cluster_1,mimsy,3,0.01138886
raven,17,cluster_1,vorpal,3,0.01542201
raven,17,cluster_2,slithy,3,0.01294897
raven,17,cluster_2,mimsy,3,0.01230532
raven,17,cluster_2,vorpal,3,0.01102295
raven,18,cluster_1,slithy,3,0.01489147
raven,18,cluster_1,mimsy,3,0.01138886
raven,18,cluster_1,vorpal,3,0.01542201
raven,18,cluster_2,slithy,3,0.01294897
raven,18,cluster_2,mimsy,3,0.01230532
raven,18,cluster_2,vorpal,3,0.01102295
raven,19,cluster_1,slithy,3,0.01489147
raven,19,cluster_1,mimsy,3,0.01138886
raven,19,cluster_1,vorpal,3,0.01542201
raven,19,cluster_2,slithy,3,0.01294897
raven,19,cluster_2,mimsy,3,0.01230532
raven,19,cluster_2,vorpal,3,0.01102295
raven,20,cluster_1,slithy,3,0.01747525
raven,20,cluster_1,mimsy,3,0.01138886
raven,20,cluster_1,vorpal,3,0.01542201
raven,20,cluster_2,slithy,3,0.01294897
raven,20,cluster_2,mimsy,3,0.01230532
raven,20,cluster_2,vorpal,3,0.01102295
raven,21,cluster_1,slithy,3,0.01747525
raven,21,cluster_1,mimsy,3,0.01138886
raven,21,cluster_1,vorpal,3,0.01542201
raven,21,cluster_2,slithy,3,0.01294897
raven,21,cluster_2,mimsy,3,0.01230532
raven,21,cluster_2,vorpal,3,0.01102295
raven,22,cluster_1,slithy,3,0.01747525
raven,22,cluster_1,mimsy,3,0.01138886
raven,22,cluster_1,vorpal,3,0.01542201
raven,22,cluster_2,slithy,3,0.01294897
raven,22,cluster_2,mimsy,3,0.01230532
raven,22,cluster_2,vorpal,3,0.01102295
raven,23,cluster_1,slithy,3,0.01747525
raven,23,cluster_1,mimsy,3,0.01138886
raven,23,cluster_1,vorpal,3,0.01542201
raven,23,cluster_2,slithy,3,0.01294897
raven,23,cluster_2,mimsy,3,0.01230532
raven,23,cluster_2,vorpal,3,0.01102295
raven,24,cluster_1,slithy,3,0.01747525
raven,24,cluster_1,mimsy,3,0.01138886
raven,24,cluster_1,vorpal,3,0.01542201
raven,24,cluster_2,slithy,3,0.01294897
raven,24,cluster_2,mimsy,3,0.01230532
raven,24,cluster_2,vorpal,3,0.01102295
raven,25,cluster_1,slithy,3,0.01747525
raven,25,cluster_1,mimsy,3,0.01138886
raven,25,cluster_1,vorpal,3,0.01542201
raven,25,cluster_2,slithy,3,0.01294897
raven,25,cluster_2,mimsy,3,0.01230532
raven,25,cluster_2,vorpal,3,0.01102295
latin,1,cluster_1,slithy,3,0.26992383
latin,1,cluster_1,mimsy,3,0.09061503
latin,1,cluster_1,vorpal,3,0.27488166
latin,1,cluster_2,slithy,3,0.22164748
latin,1,cluster_2,mimsy,3,0.08537388
latin,1,cluster_2,vorpal,3,0.19830614
latin,2,cluster_1,slithy,3,0.26992383
latin,2,cluster_1,mimsy,3,0.08464746
latin,2,cluster_1,vorpal,3,0.19045581
latin,2,cluster_2,slithy,3,0.14228523
latin,2,cluster_2,mimsy,3,0.0666816
latin,2,cluster_2,vorpal,3,0.19830614
latin,3,cluster_1,slithy,3,0.26992383
latin,3,cluster_1,mimsy,3,0.07016899
latin,3,cluster_1,vorpal,3,0.19045581
latin,3,cluster_2,slithy,3,0.09114019
latin,3,cluster_2,mimsy,3,0.0666816
latin,3,cluster_2,vorpal,3,0.19830614
latin,4,cluster_1,slithy,3,0.26992383
latin,4,cluster_1,mimsy,3,0.07016899
latin,4,cluster_1,vorpal,3,0.19045581
latin,4,cluster_2,slithy,3,0.07396843
latin,4,cluster_2,mimsy,3,0.0517078
latin,4,cluster_2,vorpal,3,0.18039634
latin,5,cluster_1,slithy,3,0.26992383
latin,5,cluster_1,mimsy,3,0.07016899
latin,5,cluster_1,vorpal,3,0.12959862
latin,5,cluster_2,slithy,3,0.07396843
latin,5,cluster_2,mimsy,3,0.0517078
latin,5,cluster_2,vorpal,3,0.18039634
latin,6,cluster_1,slithy,3,0.26992383
latin,6,cluster_1,mimsy,3,0.07016899
latin,6,cluster_1,vorpal,3,0.1330543
latin,6,cluster_2,slithy,3,0.07396843
latin,6,cluster_2,mimsy,3,0.0517078
