pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
142,aquarium_fish,lobster,fish,non_insect_invertebrates,False,0.530894,0.789474,Q4
143,aquarium_fish,man,fish,people,False,0.751899,0.4,Q3
144,aquarium_fish,maple_tree,fish,trees,False,0.789375,0.789474,Q2
145,aquarium_fish,motorcycle,fish,vehicles_1,False,0.755161,0.636364,Q2
146,aquarium_fish,mountain,fish,large_natural_outdoor_scenes,False,0.851965,0.647059,Q2
147,aquarium_fish,mouse,fish,small_mammals,False,0.584179,0.25,Q1
148,aquarium_fish,mushroom,fish,fruit_and_vegetables,False,0.68867,0.428571,Q1
149,aquarium_fish,oak_tree,fish,trees,False,0.835507,0.789474,Q2
150,aquarium_fish,orange,fish,fruit_and_vegetables,False,0.759872,0.652174,Q2
151,aquarium_fish,orchid,fish,flowers,False,0.760139,0.478261,Q3
152,aquarium_fish,otter,fish,aquatic_mammals,False,0.635556,0.809524,Q4
153,aquarium_fish,palm_tree,fish,trees,False,0.821906,0.777778,Q2
154,aquarium_fish,pear,fish,fruit_and_vegetables,False,0.740551,0.636364,Q2
155,aquarium_fish,pickup_truck,fish,vehicles_1,False,0.759836,0.636364,Q2
156,aquarium_fish,pine_tree,fish,trees,False,0.793181,0.5,Q3
157,aquarium_fish,plain,fish,large_natural_outdoor_scenes,False,0.814562,0.625,Q2
158,aquarium_fish,plate,fish,food_containers,False,0.752379,0.619048,Q2
159,aquarium_fish,poppy,fish,flowers,False,0.660506,0.478261,Q1
160,aquarium_fish,porcupine,fish,medium_mammals,False,0.703695,0.25,Q1
161,aquarium_fish,possum,fish,medium_mammals,False,0.67987,0.25,Q1
162,aquarium_fish,rabbit,fish,small_mammals,False,0.63876,0.28,Q1
163,aquarium_fish,raccoon,fish,medium_mammals,False,0.764921,0.809524,Q2
164,aquarium_fish,ray,fish,fish,True,0.503267,0.894737,Q4
165,aquarium_fish,road,fish,large_man_made_outdoor_things,False,0.872299,0.555556,Q3
166,aquarium_fish,rocket,fish,vehicles_2,False,0.788563,0.6,Q3
167,aquarium_fish,rose,fish,flowers,False,0.721774,0.454545,Q3
168,aquarium_fish,sea,fish,large_natural_outdoor_scenes,False,0.825428,0.75,Q2
169,aquarium_fish,seal,fish,aquatic_mammals,False,0.628719,0.28,Q1
170,aquarium_fish,shark,fish,fish,True,0.496565,0.12,Q1
171,aquarium_fish,shrew,fish,small_mammals,False,0.598,0.454545,Q1
