space,condition,label,round,d_00_01,d_00_02,d_01_02,mean_pairwise_distance
raw,frozen,vorpal,20,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,21,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,22,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,23,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,24,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,25,0.01536453,0.01475132,0.01587027,0.01532871
raw,random,mimsy,1,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,2,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,3,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,4,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,5,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,6,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,7,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,8,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,9,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,10,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,11,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,12,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,13,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,14,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,15,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,16,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,17,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,18,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,19,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,20,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,21,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,22,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,23,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,24,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,mimsy,25,0.01918906,0.0206995,0.02279156,0.02089337
raw,random,slithy,1,0.03196442,0.02930182,0.03492105,0.03206243
raw,random,slithy,2,0.02664542,0.02264178,0.02173114,0.02367278
raw,random,slithy,3,0.02664542,0.02264178,0.02173114,0.02367278
