tier,pool_type,learner,n_episodes,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high
mid,small,centroid,30,0.6542,0.6369,0.6716,0.5728,0.5461,0.6011
mid,small,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.6444,0.6156,0.6744
mid,small,kcentroid_k2,30,0.6531,0.6333,0.6733,0.5767,0.5472,0.6067
mid,small,logreg,30,0.6411,0.6176,0.6656,0.6522,0.6289,0.6772
mid,small,linsvm,30,0.6444,0.624,0.6651,0.6556,0.63,0.6817
mid,small,random,30,0.3289,0.3176,0.34,0.2039,0.1861,0.2233
mid,medium,centroid,30,0.6542,0.6369,0.6716,0.4711,0.4456,0.4994
mid,medium,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.56,0.5317,0.59
mid,medium,kcentroid_k2,30,0.6531,0.6333,0.6733,0.4922,0.4655,0.5217
mid,medium,logreg,30,0.6411,0.6176,0.6656,0.5783,0.5506,0.6067
mid,medium,linsvm,30,0.6444,0.624,0.6651,0.5733,0.5478,0.6011
mid,medium,random,30,0.3289,0.3176,0.34,0.1017,0.0894,0.1144
mid,large,centroid,30,0.6542,0.6369,0.6716,0.4072,0.3772,0.44
mid,large,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.4839,0.4489,0.5195
mid,large,kcentroid_k2,30,0.6531,0.6333,0.6733,0.3994,0.3706,0.4328
mid,large,logreg,30,0.6411,0.6176,0.6656,0.5033,0.4778,0.5306
mid,large,linsvm,30,0.6444,0.624,0.6651,0.5,0.4717,0.5311
mid,large,random,30,0.3289,0.3176,0.34,0.04,0.0333,0.0472
mid,hard,centroid,30,0.6542,0.6369,0.6716,0.2744,0.245,0.305
mid,hard,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.3406,0.3083,0.3744
mid,hard,kcentroid_k2,30,0.6531,0.6333,0.6733,0.2833,0.2544,0.3117
mid,hard,logreg,30,0.6411,0.6176,0.6656,0.3867,0.3522,0.4211
mid,hard,linsvm,30,0.6444,0.624,0.6651,0.3844,0.3483,0.42
mid,hard,random,30,0.3289,0.3176,0.34,0.1061,0.0933,0.12
mid,oov_25,centroid,30,0.6542,0.6369,0.6716,0.4589,0.43,0.4895
mid,oov_25,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.5039,0.4739,0.5339
mid,oov_25,kcentroid_k2,30,0.6531,0.6333,0.6733,0.4539,0.4272,0.4833
mid,oov_25,logreg,30,0.6411,0.6176,0.6656,0.52,0.4961,0.5456
mid,oov_25,linsvm,30,0.6444,0.624,0.6651,0.5117,0.4867,0.5389
mid,oov_25,random,30,0.3289,0.3176,0.34,0.1028,0.0911,0.1144
mid,oov_50,centroid,30,0.6542,0.6369,0.6716,0.4378,0.4089,0.4689
mid,oov_50,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.4572,0.43,0.4867
mid,oov_50,kcentroid_k2,30,0.6531,0.6333,0.6733,0.4428,0.415,0.4739
mid,oov_50,logreg,30,0.6411,0.6176,0.6656,0.4822,0.4594,0.5067
mid,oov_50,linsvm,30,0.6444,0.624,0.6651,0.4789,0.4544,0.5078
mid,oov_50,random,30,0.3289,0.3176,0.34,0.0933,0.0794,0.1078
far,std_nway,centroid,30,0.5296,0.5104,0.5502,0.5439,0.52,0.5683
far,std_nway,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.6083,0.5822,0.6361
far,std_nway,kcentroid_k2,30,0.5253,0.5053,0.546,0.5533,0.5317,0.5744
far,std_nway,logreg,30,0.5349,0.5127,0.5576,0.6189,0.5883,0.65
far,std_nway,linsvm,30,0.5329,0.5104,0.5558,0.6283,0.5994,0.6578
far,std_nway,random,30,0.3416,0.3293,0.3542,0.3439,0.3233,0.365
far,small,centroid,30,0.5296,0.5104,0.5502,0.4733,0.4483,0.4994
far,small,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.5161,0.4878,0.5461
far,small,kcentroid_k2,30,0.5253,0.5053,0.546,0.4756,0.4517,0.5011
far,small,logreg,30,0.5349,0.5127,0.5576,0.5244,0.4955,0.555
far,small,linsvm,30,0.5329,0.5104,0.5558,0.5278,0.4967,0.5622
far,small,random,30,0.3416,0.3293,0.3542,0.2161,0.1939,0.2378
far,medium,centroid,30,0.5296,0.5104,0.5502,0.4317,0.4072,0.4556
far,medium,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.4506,0.4261,0.4733
far,medium,kcentroid_k2,30,0.5253,0.5053,0.546,0.425,0.4,0.4494
far,medium,logreg,30,0.5349,0.5127,0.5576,0.4589,0.4311,0.4861
far,medium,linsvm,30,0.5329,0.5104,0.5558,0.4578,0.4305,0.485
far,medium,random,30,0.3416,0.3293,0.3542,0.1072,0.09,0.1244
far,large,centroid,30,0.5296,0.5104,0.5502,0.3961,0.3728,0.42
far,large,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.4128,0.3883,0.4378
far,large,kcentroid_k2,30,0.5253,0.5053,0.546,0.3861,0.3633,0.4089
far,large,logreg,30,0.5349,0.5127,0.5576,0.4194,0.3944,0.4445
far,large,linsvm,30,0.5329,0.5104,0.5558,0.4172,0.3894,0.445
far,large,random,30,0.3416,0.3293,0.3542,0.0533,0.0422,0.0644
far,hard,centroid,30,0.5296,0.5104,0.5502,0.3039,0.2744,0.335
far,hard,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.3522,0.3189,0.3861
far,hard,kcentroid_k2,30,0.5253,0.5053,0.546,0.2922,0.2583,0.325
far,hard,logreg,30,0.5349,0.5127,0.5576,0.4039,0.3672,0.4423
far,hard,linsvm,30,0.5329,0.5104,0.5558,0.4172,0.3767,0.46
far,hard,random,30,0.3416,0.3293,0.3542,0.1183,0.1011,0.1361
far,oov_25,centroid,30,0.5296,0.5104,0.5502,0.43,0.4083,0.45
far,oov_25,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.4411,0.4172,0.4661
far,oov_25,kcentroid_k2,30,0.5253,0.5053,0.546,0.4289,0.4072,0.45
far,oov_25,logreg,30,0.5349,0.5127,0.5576,0.4483,0.4222,0.4744
far,oov_25,linsvm,30,0.5329,0.5104,0.5558,0.4461,0.4183,0.4744
far,oov_25,random,30,0.3416,0.3293,0.3542,0.1139,0.0967,0.1306
far,oov_50,centroid,30,0.5296,0.5104,0.5502,0.4272,0.405,0.4494
far,oov_50,exemplar_knn_k3,30,0.5291,0.5093,0.5509,0.4306,0.4072,0.4539
far,oov_50,kcentroid_k2,30,0.5253,0.5053,0.546,0.4256,0.4056,0.4456
far,oov_50,logreg,30,0.5349,0.5127,0.5576,0.4389,0.4161,0.4617
far,oov_50,linsvm,30,0.5329,0.5104,0.5558,0.4317,0.4094,0.4539
far,oov_50,random,30,0.3416,0.3293,0.3542,0.1094,0.0944,0.125
