sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,c1_accuracy,c1_ci_low,c1_ci_high,mean_margin
16,lizard,snail,skunk,aquarium_fish,Q1,0.515372,0.416667,exemplar_knn_k3,0.8742,0.86,0.8887,1.2151
16,lizard,snail,skunk,aquarium_fish,Q1,0.515372,0.416667,logreg,0.9207,0.9067,0.9338,0.6077
16,lizard,snail,skunk,aquarium_fish,Q1,0.515372,0.416667,random,0.3256,0.3102,0.3396,1.2259
17,man,squirrel,palm_tree,wolf,Q1,0.582671,0.454545,centroid,0.8398,0.8289,0.8513,0.2842
17,man,squirrel,palm_tree,wolf,Q1,0.582671,0.454545,exemplar_knn_k3,0.8258,0.8124,0.8402,1.1582
17,man,squirrel,palm_tree,wolf,Q1,0.582671,0.454545,logreg,0.8489,0.836,0.8627,0.5765
17,man,squirrel,palm_tree,wolf,Q1,0.582671,0.454545,random,0.3324,0.3216,0.344,1.2118
18,man,turtle,seal,couch,Q1,0.690216,0.578947,centroid,0.7944,0.7856,0.8027,0.244
18,man,turtle,seal,couch,Q1,0.690216,0.578947,exemplar_knn_k3,0.7907,0.7811,0.8004,0.9416
18,man,turtle,seal,couch,Q1,0.690216,0.578947,logreg,0.7944,0.7858,0.8029,0.5
18,man,turtle,seal,couch,Q1,0.690216,0.578947,random,0.3402,0.3269,0.3538,1.2276
19,mouse,shark,wardrobe,television,Q1,0.630985,0.333333,centroid,0.91,0.8964,0.9233,0.2224
19,mouse,shark,wardrobe,television,Q1,0.630985,0.333333,exemplar_knn_k3,0.9029,0.892,0.9138,0.9651
19,mouse,shark,wardrobe,television,Q1,0.630985,0.333333,logreg,0.9138,0.8971,0.9298,0.4822
19,mouse,shark,wardrobe,television,Q1,0.630985,0.333333,random,0.3282,0.3153,0.3411,1.2296
20,mouse,shrew,forest,pine_tree,Q1,0.141426,0.5,centroid,0.8607,0.8409,0.8798,0.1664
20,mouse,shrew,forest,pine_tree,Q1,0.141426,0.5,exemplar_knn_k3,0.818,0.794,0.8404,1.0089
20,mouse,shrew,forest,pine_tree,Q1,0.141426,0.5,logreg,0.866,0.8489,0.882,0.4195
20,mouse,shrew,forest,pine_tree,Q1,0.141426,0.5,random,0.3178,0.3047,0.3316,1.2527
21,plain,rocket,turtle,lobster,Q1,0.500003,0.571429,centroid,0.9196,0.9084,0.9302,0.215
21,plain,rocket,turtle,lobster,Q1,0.500003,0.571429,exemplar_knn_k3,0.898,0.8851,0.9111,0.9082
21,plain,rocket,turtle,lobster,Q1,0.500003,0.571429,logreg,0.9044,0.8904,0.9178,0.4481
21,plain,rocket,turtle,lobster,Q1,0.500003,0.571429,random,0.3411,0.3278,0.3551,1.1984
22,plain,worm,oak_tree,sunflower,Q1,0.706222,0.571429,centroid,0.8871,0.8658,0.9084,0.3468
22,plain,worm,oak_tree,sunflower,Q1,0.706222,0.571429,exemplar_knn_k3,0.8642,0.8453,0.8833,1.475
22,plain,worm,oak_tree,sunflower,Q1,0.706222,0.571429,logreg,0.8813,0.8602,0.9027,0.7356
22,plain,worm,oak_tree,sunflower,Q1,0.706222,0.571429,random,0.3398,0.3267,0.3529,1.2105
23,shrew,squirrel,woman,tank,Q1,0.238103,0.5,centroid,0.9762,0.9698,0.9818,0.2743
23,shrew,squirrel,woman,tank,Q1,0.238103,0.5,exemplar_knn_k3,0.9633,0.9551,0.9711,1.1092
23,shrew,squirrel,woman,tank,Q1,0.238103,0.5,logreg,0.9747,0.968,0.9807,0.5766
23,shrew,squirrel,woman,tank,Q1,0.238103,0.5,random,0.3358,0.3242,0.3469,1.248
24,spider,woman,possum,squirrel,Q1,0.675995,0.4,centroid,0.7553,0.74,0.7709,0.1621
24,spider,woman,possum,squirrel,Q1,0.675995,0.4,exemplar_knn_k3,0.7362,0.7231,0.7504,0.7866
24,spider,woman,possum,squirrel,Q1,0.675995,0.4,logreg,0.7764,0.756,0.798,0.3607
24,spider,woman,possum,squirrel,Q1,0.675995,0.4,random,0.3227,0.3096,0.3369,1.2184
25,apple,tractor,mountain,squirrel,Q2,0.799385,0.619048,centroid,0.8551,0.8451,0.8658,0.3264
25,apple,tractor,mountain,squirrel,Q2,0.799385,0.619048,exemplar_knn_k3,0.8484,0.8407,0.8567,1.1696
25,apple,tractor,mountain,squirrel,Q2,0.799385,0.619048,logreg,0.8571,0.8433,0.872,0.6646
25,apple,tractor,mountain,squirrel,Q2,0.799385,0.619048,random,0.3409,0.326,0.356,1.2108
26,bear,bottle,dolphin,mushroom,Q2,0.736696,0.636364,centroid,0.8838,0.8682,0.8998,0.3179
26,bear,bottle,dolphin,mushroom,Q2,0.736696,0.636364,exemplar_knn_k3,0.874,0.8604,0.8884,1.1072
26,bear,bottle,dolphin,mushroom,Q2,0.736696,0.636364,logreg,0.8738,0.8569,0.8913,0.6362
26,bear,bottle,dolphin,mushroom,Q2,0.736696,0.636364,random,0.3284,0.3144,0.3436,1.2211
27,bed,sea,butterfly,crab,Q2,0.775448,0.733333,centroid,0.8522,0.8391,0.8662,0.2432
27,bed,sea,butterfly,crab,Q2,0.775448,0.733333,exemplar_knn_k3,0.8651,0.8513,0.8787,0.8888
27,bed,sea,butterfly,crab,Q2,0.775448,0.733333,logreg,0.8284,0.816,0.8413,0.4883
27,bed,sea,butterfly,crab,Q2,0.775448,0.733333,random,0.3271,0.3127,0.3416,1.2233
28,bee,table,shark,clock,Q2,0.73877,0.888889,centroid,0.8678,0.8569,0.8787,0.3091
28,bee,table,shark,clock,Q2,0.73877,0.888889,exemplar_knn_k3,0.8538,0.8424,0.8656,1.0358
28,bee,table,shark,clock,Q2,0.73877,0.888889,logreg,0.8816,0.8638,0.8991,0.5919
28,bee,table,shark,clock,Q2,0.73877,0.888889,random,0.3322,0.3187,0.346,1.2229
29,bottle,cloud,squirrel,pine_tree,Q2,0.795229,0.75,centroid,0.7967,0.7856,0.8062,0.2561
29,bottle,cloud,squirrel,pine_tree,Q2,0.795229,0.75,exemplar_knn_k3,0.7816,0.766,0.7944,1.1382
29,bottle,cloud,squirrel,pine_tree,Q2,0.795229,0.75,logreg,0.7951,0.7838,0.8047,0.5533
29,bottle,cloud,squirrel,pine_tree,Q2,0.795229,0.75,random,0.3418,0.3284,0.3553,1.2195
