sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,episode_id,c1,margin
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,23,0.8467,0.5383
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,23,0.3867,1.2786
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,24,0.8667,0.2314
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,24,0.8467,1.1679
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,24,0.88,0.5055
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,24,0.2867,1.1775
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,25,0.7533,0.2318
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,25,0.7267,1.0134
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,25,0.7333,0.5166
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,25,0.38,1.3486
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,26,0.9,0.252
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,26,0.9,1.1346
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,26,0.9067,0.5439
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,26,0.3,1.2076
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,27,0.82,0.2519
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,27,0.8267,1.1506
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,27,0.8333,0.5264
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,27,0.3267,1.22
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,28,0.8667,0.2896
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,28,0.8467,1.2655
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,28,0.8667,0.5952
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,28,0.3667,1.2487
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,29,0.8467,0.2322
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,29,0.88,1.0006
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,29,0.8,0.5198
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,29,0.36,1.1815
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,0,0.92,0.4239
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,0,0.9267,1.295
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,0,0.96,0.8027
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,0,0.4,1.1741
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,1,0.98,0.3989
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,1,0.9867,1.3074
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,1,0.9733,0.775
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,1,0.3533,1.326
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,2,0.9667,0.4388
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,2,0.98,1.3362
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,2,0.9667,0.8446
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,2,0.3133,1.0874
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,3,1.0,0.3948
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,3,1.0,1.3192
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,3,0.9933,0.764
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,3,0.3333,1.363
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,4,0.96,0.4282
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,4,0.9667,1.3614
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,4,0.9867,0.8373
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,4,0.38,1.2485
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,5,0.98,0.4282
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,5,0.98,1.3474
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,5,0.98,0.8307
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,5,0.34,1.0607
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,6,0.9733,0.3749
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,6,0.9667,1.2357
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,6,0.8733,0.7765
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,6,0.42,1.2049
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,7,0.9667,0.4293
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,7,0.98,1.3479
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,7,0.9667,0.8384
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,random,7,0.32,1.1132
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,centroid,8,0.9867,0.3841
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,exemplar_knn_k3,8,0.98,1.1769
1,bed,chair,cockroach,poppy,Q1,0.614322,0.2,logreg,8,0.98,0.7153
