experiment_id,round,agent_id,label,cohesion,vector_norm,shift_from_previous,distance_to_initial,n_points
exp_003b,25,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,25,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,26,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,26,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,26,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,26,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,26,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,26,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,26,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,26,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,26,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,27,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,27,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,27,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,27,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,27,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,27,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,27,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,27,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,27,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,28,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,28,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,28,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,28,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,28,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,28,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,28,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,28,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,28,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,29,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,29,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,29,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,29,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,29,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,29,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,29,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,29,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,29,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,30,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
