tier,learner,ways,shots,pool_type,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high
far,kcentroid_k3,3,1,std_nway,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196
far,kcentroid_k3,3,10,std_nway,30,0.3333,0.5067,0.4827,0.5333,0.5094,0.4778,0.5411,0.1475,0.1386,0.1559
far,kcentroid_k3,3,20,std_nway,30,0.3333,0.424,0.3973,0.4505,0.4383,0.4144,0.4634,0.1276,0.1174,0.1377
far,kcentroid_k3,3,3,std_nway,30,0.3333,0.5371,0.518,0.5567,0.5478,0.5211,0.5761,0.1259,0.118,0.1341
far,kcentroid_k3,3,5,std_nway,30,0.3333,0.5227,0.5018,0.5433,0.5317,0.5116,0.5528,0.1422,0.1315,0.1529
far,kcentroid_k3,5,1,std_nway,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103
far,kcentroid_k3,5,10,std_nway,30,0.2,0.4247,0.4109,0.4397,0.418,0.3967,0.4397,0.1321,0.127,0.1366
far,kcentroid_k3,5,20,std_nway,30,0.2,0.3521,0.3401,0.3652,0.3433,0.3273,0.3613,0.1199,0.1133,0.1263
far,kcentroid_k3,5,3,std_nway,30,0.2,0.4724,0.4601,0.4861,0.463,0.442,0.4853,0.1174,0.1121,0.1224
far,kcentroid_k3,5,5,std_nway,30,0.2,0.4637,0.4529,0.4741,0.474,0.4523,0.4967,0.1282,0.1225,0.1336
far,linsvm,3,1,std_nway,30,0.3333,0.5247,0.5015,0.5462,0.5839,0.5517,0.6145,0.1659,0.1549,0.178
far,linsvm,3,10,std_nway,30,0.3333,0.5144,0.4915,0.5393,0.5828,0.5505,0.6195,0.6402,0.6085,0.6718
far,linsvm,3,20,std_nway,30,0.3333,0.434,0.4062,0.4602,0.5028,0.4672,0.5361,0.6654,0.6308,0.6989
far,linsvm,3,3,std_nway,30,0.3333,0.5456,0.5287,0.5629,0.6433,0.6166,0.6717,0.3534,0.3343,0.3731
far,linsvm,3,5,std_nway,30,0.3333,0.5475,0.526,0.57,0.62,0.5994,0.6428,0.4908,0.4614,0.5206
far,linsvm,5,1,std_nway,30,0.2,0.4505,0.4387,0.464,0.4933,0.4683,0.5183,0.1572,0.1499,0.165
far,linsvm,5,10,std_nway,30,0.2,0.442,0.432,0.4529,0.466,0.4443,0.4907,0.5521,0.5316,0.5722
far,linsvm,5,20,std_nway,30,0.2,0.3732,0.3616,0.3848,0.3837,0.364,0.406,0.6138,0.5838,0.6401
far,linsvm,5,3,std_nway,30,0.2,0.4843,0.472,0.4975,0.5307,0.5093,0.5523,0.3241,0.3118,0.3365
far,linsvm,5,5,std_nway,30,0.2,0.4692,0.4604,0.4775,0.5263,0.5037,0.5503,0.4307,0.4148,0.4457
far,logreg,3,1,std_nway,30,0.3333,0.5244,0.5,0.5467,0.5855,0.5533,0.6139,0.0864,0.0808,0.0928
far,logreg,3,10,std_nway,30,0.3333,0.5178,0.4949,0.5411,0.5822,0.5489,0.62,0.5148,0.4862,0.5439
far,logreg,3,20,std_nway,30,0.3333,0.44,0.4125,0.4667,0.5056,0.4728,0.5383,0.6229,0.5805,0.6638
far,logreg,3,3,std_nway,30,0.3333,0.5496,0.5322,0.5653,0.6322,0.605,0.6622,0.2103,0.1976,0.2238
far,logreg,3,5,std_nway,30,0.3333,0.5507,0.5284,0.5751,0.6133,0.5922,0.635,0.3297,0.3069,0.3528
far,logreg,5,1,std_nway,30,0.2,0.4513,0.4395,0.4647,0.4903,0.4673,0.5143,0.0881,0.084,0.0924
far,logreg,5,10,std_nway,30,0.2,0.4464,0.4367,0.4564,0.4543,0.4326,0.477,0.4805,0.4609,0.4989
far,logreg,5,20,std_nway,30,0.2,0.3813,0.3691,0.3936,0.3657,0.3463,0.388,0.6394,0.6022,0.6738
far,logreg,5,3,std_nway,30,0.2,0.4877,0.4761,0.5,0.5217,0.4997,0.5437,0.211,0.2024,0.2204
far,logreg,5,5,std_nway,30,0.2,0.4739,0.4649,0.4832,0.5147,0.494,0.536,0.3159,0.3028,0.3275
far,random,3,1,std_nway,30,0.3333,0.3275,0.3144,0.3402,0.3178,0.2928,0.34,1.2173,1.1857,1.2462
far,random,3,10,std_nway,30,0.3333,0.3171,0.3042,0.33,0.315,0.2894,0.3422,1.2177,1.1819,1.2527
